"mz","intensity","rt"
217.0772,1906922,553
217.0846,30194,766
217.0781,13285,299
217.1082,208492,214
217.1082,174428,52
217.1343,246019,382
217.8537,47397,1164
217.979,113633,533
218.0452,39768,732
218.0692,139838,704
218.0802,78414,561
218.8503,11057,1149
218.9627,35769,314
219.04,130289,732
219.087,10217,872
219.087,1442705,53
219.103,32054,490
219.1031,11221,630
219.139,575083,580
219.1753,137959,888
220.0555,19701,545
220.0906,15881,52
220.0982,370304,735
220.1468,520183,542
220.9676,47029,324
221.0086,11349,264
221.0277,189148,291
221.0456,11857,416
221.0818,6532469,350
221.0855,1237741,1072
221.0818,449370,228
221.0851,66903,589
221.1012,23039,735
221.1026,24804,70
221.119,58839,587
221.1308,847392,438
221.1401,13281,201
221.2016,23628,347
221.2495,17616,504
222.0849,463439,338
222.0889,25777,1075
222.1137,94804,744
222.1336,58369,504
223.0249,1519638,842
223.04,736148,538
223.0606,23167,51
223.0637,58324,358
223.0761,60693,643
223.082,11215,1074
223.1001,900681,546
223.0982,11524,252
223.1241,65688,565
223.1342,46482,396
223.17,294838,489
223.2069,23533,715
223.2183,32917,587
223.2548,10117,669
224.0433,49225,543
224.0826,23096,422
224.0824,12513,691
224.1039,160583,531
224.1081,305076,770
224.1653,47984,586
224.1658,84846,1038
224.1693,14665,470
225.0407,15522,330
225.0552,251238,539
225.0489,91556,705
225.0765,88257,52
225.0763,20285,205
225.0784,23301,300
225.0919,1758244,674
225.0967,27594,218
225.1131,1891656,305
225.1131,84519,635
225.1495,453804,568
225.1495,102508,694
225.1609,3628959,177
225.186,8445132,838
225.2123,12536,670
225.2219,734942,753
225.2332,10288,360
225.2823,56226,167
225.3063,140752,828
226.0272,62305,636
226.0626,56379,454
226.0951,95426,678
226.1164,202526,350
226.1485,21795,575
226.1639,339345,165
226.1893,1133513,841
226.2259,20910,753
227.0346,152329,505
227.0344,96400,634
227.0352,36969,404
227.0586,11152,688
227.0491,13509,371
227.0711,131681,433
227.0715,455146,550
227.0929,554147,52
227.0927,62237,226
227.1077,1967410,555
227.1292,2187756,377
227.1288,46832,540
227.1399,10768,547
227.1398,12423,331
227.1438,24473,681
227.1653,513604,605
227.1653,44713,1107
227.1653,61146,812
227.2018,115788,749
227.2017,25934278,902
227.323,1240186,921
227.4387,316833,929
227.9894,36794,328
228.0333,313515,159
228.0302,97278,535
228.0529,178090,513
228.0751,34355,560
228.1112,168269,558
228.1245,72018,257
228.1316,74217,371
228.1605,5126356,397
228.1684,56768,516
228.2052,4555759,911
228.2824,15508,376
228.5548,32879,507
228.9514,156468,481
228.991,6481191,646
228.991,3584665,377
229.0507,43716,272
229.0503,35922,496
229.0505,18597,435
229.0716,37622,51
229.1082,348903,53
229.1127,23502,621
229.1085,268190,207
229.1446,17393078,442
229.1445,185855,274
229.144,42636,1028
229.1441,44565,1112
229.1616,313944,392
229.1809,1304604,602
229.208,226046,928
229.2667,308906,425
229.3836,53044,428
229.9942,301472,650
229.9941,174412,401
230.0372,103720,440
230.1396,263343,211
230.1396,23555,872
230.148,2067747,425
230.1839,57742,564
230.9479,163531,481
230.9878,2398565,646
230.9883,893383,383
231.0098,272194,576
231.0306,10649,412
231.0656,643181,608
231.087,556367,52
231.1032,102659,659
231.1235,2228061,294
231.123,21500,53
231.1392,17250,741
231.15,60466,429
231.1597,34679,517
231.246,19888,289
231.9911,31050,649
231.9914,11941,379
232.0129,11003,547
232.0437,2113504,558
232.07,37900,608
232.1058,11113,659
232.1272,130689,296
232.1665,32094,550
232.9845,15455,649
233.0067,133377,578
233.02,182909,408
233.0471,164139,566
233.0721,151449,421
233.0821,10955,390
233.103,916435,52
233.1029,452782,172
233.1179,10971,708
233.9815,25136,757
234.0412,35108,566
234.0893,36028,630
234.1141,18477,343
235.0046,11172,547
235.0203,264187,51
235.0435,100972,339
235.0609,241338,318
235.1008,1035890,1091
235.098,82905,461
235.1009,39763,609
235.1117,15878,446
235.1351,48915,537
236.0827,28270,535
236.1049,516577,542
236.0963,5286382,399
236.1047,44093,1092
236.2208,120741,399
236.3375,39748,417
237.0559,89255,541
237.0766,96176,258
237.0767,10595,52
237.077,86810,387
237.0992,528153,398
237.1164,7311061,580
237.1494,251710,532
237.1859,15603,667
237.2402,161187,601
237.3592,52582,609
238.0508,26981,663
238.0717,84156,544
238.094,171227,400
238.1197,833846,583
239.0121,176233,496
239.0348,80157,596
239.0344,72113,332
239.0342,45651,427
239.0541,51043,52
239.0677,1390525,522
239.0927,130947,260
239.0925,116118,397
239.0921,50167,53
239.1147,260704,598
239.1285,78571,365
239.1655,586630,615
239.2016,8322272,892
239.2387,26195,804
239.3266,190093,886
239.4448,12807,906
240.0359,71684,575
240.071,23585,533
240.0957,57885,279
240.1009,77430,132
240.1033,27039,534
240.1684,16948,628
240.1971,14166,737
240.2053,1075927,890
241.0507,108704,438
241.0508,25028,306
241.0733,282103,665
241.0876,38351,498
241.0877,86735,630
241.0879,10305,723
241.1079,265286,271
241.1083,227625,53
241.1448,1016225,452
241.181,1244976,644
241.2174,19918438,969
241.2172,70451,801
241.3424,521425,982
241.4619,99168,990
242.0819,2661892,685
242.0868,236731,568
242.148,48309,427
242.1764,35885569,447
242.1761,487798,1072
242.1841,93754,638
242.2127,1699549,727
242.2209,2558634,969
242.3014,1013952,450
242.4217,277034,450
242.5312,11320,431
242.5885,13357,561
243.0067,160003,485
243.0299,82987,506
243.0663,21038,392
243.0775,31153,549
243.0858,229716,690
243.0871,304381,52
243.102,14664,493
243.1238,4061337,284
243.14,12701,413
243.1282,11369,273
243.16,15115535,510
243.1604,65568,808
243.1603,46306,1106
243.1597,196227,334
243.1605,13148,920
243.1781,21805,1068
243.1966,4999188,644
243.1782,1950104,452
243.1978,180691,624
243.2157,303674,739
243.2237,107030,990
243.2493,13981,290
243.2848,738541,480
243.3035,12920,431
243.3226,47183,634
243.4059,124908,479
243.8995,196954,47
244.0399,90430,487
244.1274,281153,295
244.1634,3712198,478
244.1632,339131,590
244.1631,20421,338
244.1803,233149,451
244.2002,667521,656
244.9082,732292,459
245.0038,18193,484
245.0459,116225,409
245.0608,23686,645
245.0726,482709,665
245.1031,815671,52
245.1029,77536,214
245.1393,1021602,358
245.1659,116355,478
245.1672,127676,167
245.1756,108057,798
245.1757,11503,546
245.8946,48472,47
245.9726,13092,237
246.0558,107778,502
246.0563,110338,652
246.0749,13098,665
246.0897,16899,614
246.1064,54858,52
246.1432,242480,455
246.1563,38668,627
246.905,719482,459
246.926,24230,410
246.9811,1012744,458
247.0321,2879175,624
247.0366,39930,456
247.0394,34873,424
247.0547,10245,653
247.0608,44641,789
247.0648,15340,570
247.0972,773362,719
247.0973,1393959,592
247.1187,3695847,217
247.1185,701341,54
247.1183,22189,959
247.134,209509,560
247.155,52352,280
247.1816,123939,708
247.2251,24038,614
248.0145,1036774,573
248.0362,218757,650
248.0646,22352,800
248.1016,152008,611
248.1218,171115,223
248.1279,72071,383
248.1376,18307,580
248.9017,119519,457
248.9607,537097,50
249.0225,14075683,363
249.0229,194655,591
249.0318,343761,325
249.0765,612926,795
249.0591,98538,394
249.0796,12653,302
249.088,49982,462
249.0778,222054,560
249.0781,1892980,800
249.1133,1248133,469
249.1159,139092,234
249.1158,138489,583
249.1136,53615,668
249.135,108228,179
249.1503,6809686,596
249.1497,180771,832
249.1496,260309,342
249.1595,3824088,613
249.1865,14922,725
249.1864,13050,802
249.2047,97193,800
249.271,62301,342
249.2773,410451,612
249.3243,39559,799
249.3955,119262,625
249.5109,53424,613
249.9584,91531,757
250.014,12277,601
250.0259,1477353,357
250.0198,794251,517
250.0811,72586,789
250.0798,20944,560
250.1167,46535,482
250.1298,822200,138
250.1447,10230998,853
250.1533,2152684,614
250.152,12178,832
250.2718,96874,854
250.2807,52008,613
250.4008,27805,613
251.0203,372562,351
251.0234,32830,529
251.0346,10088,327
251.0583,11092,52
251.083,39726,800
251.0959,903961,481
251.0927,290481,280
251.1078,101101,640
251.1323,2737084,613
251.1325,11130,142
251.1485,1160048,853
251.1557,179890,613
251.1654,1159131,561
251.2016,1801369,873
251.2014,21175,697
252.0168,468961,523
252.0428,24167,574
252.0727,63219,447
252.0962,29458,562
252.0985,57078,455
252.1247,53443,778
252.1358,198688,606
252.1688,20149,573
252.2051,173638,868
252.9829,49590,747
253.02,12892,529
253.0359,23405,368
253.0507,3396040,594
253.0503,89196,384
253.0702,46051,52
253.0872,9899519,663
253.0849,93183,486
253.099,231623,742
253.1081,60387,265
253.1297,124386,601
253.1448,1063766,442
253.1809,724196,657
253.2179,31414734,956
253.2154,157171,655
253.2542,134376,849
253.2539,26688,936
253.3018,27329,620
253.3371,39667,633
253.3456,1937539,956
253.3485,196368,977
253.4491,10913,633
253.4671,711713,966
253.581,47391,957
254.0133,13245,512
254.0538,235991,593
254.0815,1305837,671
254.1189,78618,487
254.1185,21053,770
254.1477,121830,408
254.1761,47446,415
254.1837,16416,675
254.2141,14836,976
254.2209,10452981,955
254.2482,11100,999
254.3495,116449,957
254.4726,13940,977
254.9794,15634,666
255.0299,4115909,620
255.0662,4231480,597
255.0662,653211,415
255.0874,111462,52
255.0877,351634,204
255.0871,48657,288
255.0979,122006,642
255.1237,602136,322
255.1602,382071,486
255.1766,16474,639
255.1964,1128768,699
255.2074,53526,411
255.1977,49030,678
255.2245,968500,961
255.2331,1290450,844
255.2333,29715261,1005
255.3236,100967,637
255.3626,3255767,1045
255.431,39468,613
255.4822,1019045,1046
255.5989,211449,1051
256.0335,278957,633
256.0698,1775393,603
256.0697,66016,453
256.0907,21396,205
256.0983,108354,722
256.1548,10184,291
256.1609,58521,500
256.1914,955403,500
256.1917,5338675,585
256.1999,275066,687
256.2365,14014549,1030
256.2366,101891,820
256.2377,475129,1033
256.2376,24887,820
256.3219,18357,613
256.3652,300923,1051
256.4901,33485,1051
256.9856,592371,648
257.0454,15890,275
257.0638,10140,51
257.0732,118763,613
257.0928,1341473,548
257.1033,409935,52
257.1028,133066,238
257.1016,11416,714
257.1393,621704,314
257.1396,356225,437
257.1547,162413,707
257.1552,11197,500
257.1757,16138268,525
257.1756,3051752,643
257.1755,96654,370
257.1763,10864,918
257.1946,513506,588
257.2123,2551850,686
257.2393,1337448,1045
257.304,210827,530
257.3407,23912,705
257.4289,23749,530
258.0514,110487,661
258.0763,23257,601
258.0958,123656,554
258.1422,45236,314
258.159,16706,713
258.1709,56509,307
258.1793,2229654,526
258.1796,30841,687
258.2156,764462,700
258.9831,50028,648
259.0366,84220,466
259.0357,25021,631
259.0613,75852,372
259.0618,674348,605
259.0825,20537,131
259.1013,38463,553
259.1191,316825,52
259.1188,386849,254
259.1331,13922,530
259.1553,218637,395
259.1689,11265,418
259.1915,168724,524
259.9315,166576,544
260.0649,37669,620
260.9154,115038,341
261.067,1118437,642
261.0973,36464,52
261.1129,14577,402
261.1343,26541528,266
261.1345,588450,879
261.1495,384913,451
261.1501,136261,612
261.1704,218199,375
261.2226,75112,719
261.264,885284,281
261.3888,218373,287
261.9291,165278,544
262.0515,107876,712
262.071,75262,645
262.0875,1772030,699
262.1112,14325,446
262.1376,3530172,274
262.1445,251511,439
262.1528,39213,468
262.84,508336,575
262.9131,117770,348
262.921,20960,180
262.9759,34322,350
263.0348,78295,544
263.0718,329035,681
263.0721,91535,573
263.0905,173440,698
263.1289,3738177,553
263.1293,90149,384
263.1329,60293,1145
263.1393,284022,280
263.1499,10836,225
263.1754,10281,594
263.2016,20006,857
263.2597,14150,580
263.8435,12374,569
264.1247,254693,746
264.1244,24580,403
264.1318,334517,562
264.1608,2646176,887
264.1687,31671,631
264.1687,11965,818
264.8366,1008081,575
265.0719,53743,289
265.0718,11310,435
265.1082,1283611,592
265.1084,57353,383
265.1079,11102,257
265.1082,10365,52
265.1241,327452,742
265.145,11115,411
265.1486,80553422,661
265.1638,268957,887
265.1584,119921256,670
265.1661,11412,244
265.1813,15199,635
265.2172,14393,744
265.2173,166093,921
265.218,23240,646
265.2401,34303,587
265.2813,15947967,665
265.3998,5843275,668
265.5206,2955483,669
265.8403,23183,569
266.083,21544,504
266.0978,60951,841
266.108,147437,587
266.1146,60611,770
266.1514,62330224,661
266.1665,91315,500
266.2833,2978465,667
266.4071,1029378,669
266.8336,552229,575
266.9989,123442,682
267.031,29336,607
267.0664,724976,553
267.0817,36905,806
267.0872,60889,486
267.0871,34037,52
267.103,92331,679
267.1029,98430,484
267.1239,69736,262
267.1275,144300,563
267.1461,26313084,663
267.1603,992785,491
267.1967,7934633,706
267.1977,3552338,722
267.1979,10003,592
267.2331,9601070,1005
267.2783,157868,659
267.328,159811,722
267.3655,44954,1014
267.4536,39275,738
267.4894,10935,1008
267.8374,13695,569
268.0378,7335797,596
268.0769,59889,722
268.07,124595,554
268.0688,50737,390
268.0982,7987267,765
268.0982,89951,350
268.1092,4050349,680
268.1488,2243946,667
268.1635,56522,489
268.1697,59592,607
268.192,564392,457
268.1999,1316571,721
268.2366,1490521,1006
268.2304,140323,770
268.3333,10525,740
268.3546,31387,770
268.8304,136308,585
268.9837,76248,444
268.9964,73663,702
269.0444,1238838,607
269.0455,26054961,463
269.0668,441306,626
269.065,11008,51
269.0816,2517246,619
269.0875,470715,49
269.1037,36858,190
269.1013,1274124,756
269.1038,91101,52
269.1222,151077,243
269.122,202474,580
269.1393,1145642,334
269.1538,10474,642
269.1546,92169,486
269.1761,691848,543
269.1779,346636,484
269.2125,8994439,736
269.2189,151011,678
269.2432,20860,1024
269.2489,19669318,1081
269.304,136927,488
269.3442,281141,736
269.3811,454853,1086
269.4207,12803,486
269.4714,44513,710
269.4712,27118,791
269.5066,99369,1087
270.0173,67473,646
270.0493,4327941,468
270.0493,14422,613
270.0721,309440,629
270.1091,339751,767
270.142,59586,308
270.1721,264485,517
270.2156,1129691,743
270.2078,3294001,576
270.2191,41459,679
270.2441,762048,846
270.2522,3976115,1081
270.3495,10970,689
270.3851,20687,1099
270.828,10915,569
271.0249,33120,523
271.0247,14793,627
271.0572,77712,490
271.0516,14282,617
271.061,8312074,466
271.0616,117250,633
271.0976,104432,670
271.1171,38560,767
271.1189,132019,52
271.134,211158,532
271.1185,183700,270
271.1344,36513,681
271.1554,202856,363
271.1554,139324,471
271.1555,53360,1021
271.1659,4155501,178
271.1702,31961,771
271.1918,12498733,596
271.1918,232045,850
271.2092,269979,564
271.2279,5793667,733
271.2546,214795,1095
271.2997,51985,168
271.3238,461566,580
271.3608,869629,751
271.4513,64293,580
271.4868,334775,752
271.6039,23963,753
272.0644,985255,466
272.0928,461671,661
272.137,11036,521
272.1697,435586,170
272.1777,34975,704
272.1947,78090,430
272.195,3188909,580
272.2316,1952361,731
272.3649,24475,753
273.0414,16680,474
273.0676,50105,499
273.0772,705228,676
273.0772,37066,412
273.0962,15933,663
273.097,46044,172
273.0971,192550,51
273.1163,61844,432
273.1344,1347266,307
273.1347,250266,464
273.1346,162876,54
273.1501,2361338,539
273.1611,76657,690
273.171,171409,446
273.186,425451,638
273.1864,10396,834
273.1843,10067,454
273.2061,467638,584
273.2071,11578,444
273.207,1375074,923
273.2079,212719,597
273.2338,355733,753
273.2837,15126,530
274.0462,50657,592
274.039,10206,52
274.0798,78377,671
274.1384,54272,297
274.153,235201,541
274.1457,42257,861
274.1663,265632,233
274.1901,45627,614
275.0709,24486,638
275.0932,22783,283
275.0921,11176,398
275.1131,61418,52
275.1125,37272,207
275.1131,36102,383
275.1289,89647,422
275.1504,4080144,335
275.1653,10529782,487
275.1686,324108,690
275.2021,37968,860
275.2987,147778,486
275.4268,35760,465
276.0346,10222,525
276.1026,67517,667
276.1534,324459,337
276.1609,1227271,803
276.1611,15842,541
276.1693,1954019,483
276.172,37257,701
