"mz","intensity","rt"
171.1023,6998,845
171.1023,2164,867
171.1023,152301,141
171.1023,5374,393
171.1023,4131,465
171.1024,6730,601
171.1024,66710,547
171.1024,9796,562
171.1025,1019422,112
171.1025,4822,877
171.1025,2937,373
171.1026,3878,790
171.1026,8595,890
171.1026,11722,832
171.1027,15844,859
171.1028,35497,503
171.103,4397,420
171.1049,0,904
171.1051,4404,203
171.138,7832,305
171.1381,4538,348
171.1382,7619,421
171.1384,7909,382
171.1385,109429,442
171.1392,5839,505
171.834,3267,22
171.9805,4066,123
171.9985,17207,93
171.999,10334,67
171.9996,3603,79
172.04,3406,140
172.0424,14944,156
172.0488,3003,174
172.1057,2519,144
172.142,7408,446
172.83,23526,25
172.9905,68733,332
172.9905,3555,46
172.9912,4668,399
172.9935,3804,1002
172.9935,0,937
172.9936,4782,882
172.9937,57387,928
172.9937,9667,932
172.9937,4416,90
172.9937,0,949
172.9937,4232,815
173.008,19753,53
173.0455,4342,72
173.0721,228908,106
173.0818,28523,28
173.0818,14886,61
173.0821,3819,47
173.1168,3630,138
173.1175,23605,115
173.1175,449160,76
173.1179,48531,237
173.1181,7005,173
173.9863,20726,104
174.0556,19858,255
174.0557,44879,134
174.0557,202406,273
174.0559,16251,283
174.0563,2200,265
174.121,32584,77
174.1284,7403,154
174.8279,7290,28
174.8283,0,1
174.9547,15443,139
174.955,14412,952
174.9552,22160,937
174.9553,21185,891
174.9554,0,13
174.9554,0,10
174.9556,4198,29
174.9556,0,19
174.9557,14117,945
174.9557,16306,956
174.9558,19605,56
174.9558,28153,92
174.9558,31545,946
174.9558,19291,1012
174.9559,369717,940
174.956,0,944
174.9561,17831,821
174.9561,15190,175
174.9563,22794,941
174.9699,56663,272
174.97,84692,306
174.97,16317,213
174.9702,51949,291
174.9703,12297,239
174.9705,33247,322
174.9707,6687,223
174.9711,15886,336
175.0069,8826,42
175.0272,2063,138
175.0604,4350,69
175.0974,33046,84
175.8734,8946,161
175.9661,57328,101
175.9661,61972,127
175.9664,3284,175
176.0351,3217,60
176.0351,4352,440
176.0835,13504,410
176.1443,6035,152
176.8256,6757,22
176.9493,3385,203
176.9494,24514,255
176.9494,4987,139
176.9497,12522,500
176.9497,16164,189
176.9498,3393,286
177.0185,3140,64
177.019,4607,92
177.0191,5315,140
177.0192,4786,74
177.022,11473,277
177.0222,11240,295
177.0225,8344,55
177.055,4417,161
177.0552,27725,77
177.0553,35793,130
177.0555,1417941,252
177.0556,19863,148
177.0557,3456,632
177.0558,18367,907
177.0558,8977,804
177.0558,5971,704
177.0559,7609,761
177.0559,4344,302
177.0559,3947,607
177.0559,7482,751
177.056,18113,204
177.056,120319,261
177.056,14487,881
177.0561,44141,276
177.0564,11656,895
177.0564,1395021,230
177.0912,3131,381
177.0913,4793,126
177.0916,22649,410
177.1629,43480,230
177.163,18654,251
177.2642,14396,231
177.2653,6582,257
178.0149,5171,59
178.0288,18326,77
178.058,23901,246
178.0992,6900,422
178.9427,16245,21
178.9764,41711,5
178.9769,52748,99
178.977,41318,140
178.9772,4218,1010
178.9773,13495,175
179.0021,13532,38
179.0344,5698,268
179.0344,692386,126
179.0348,28404,70
179.0349,35641,152
179.0366,4519,176
179.0602,9971,229
179.0705,3113,331
179.0711,31453,150
179.1071,7472,410
179.1073,14265,529
179.1073,58254,376
179.1074,16402,198
179.1075,7288,568
179.1413,11495,132
179.1437,5075,214
179.1437,5005,376
179.144,3501,29
180.0301,8750,56
180.0381,41931,126
180.0462,5020,191
180.0659,4143,103
180.0666,14885,57
180.0778,5068,226
180.9394,3083,23
181.0144,4135,68
181.0354,5374,801
181.0361,7280,781
181.0491,5172,245
181.0503,5065,263
181.0504,36590,178
181.0504,4265,63
181.0505,4427,205
181.0505,30911,79
181.0508,4761,354
181.0513,27354,128
181.0537,219012,148
181.0868,4433,247
181.1224,4271,195
181.1233,3211,490
181.124,3304,558
182.0096,55013,41
182.058,2163,265
182.9642,10747,1
183.0009,61364,61
183.0047,4237,192
183.0117,24218,587
183.0118,49927,578
183.0119,11796,643
183.012,41121,616
183.0121,6683,600
183.0122,45561,546
183.0127,3039,527
183.0147,6900,136
183.015,6499,116
183.0296,17737,65
183.1019,3576,209
183.102,4749,110
183.1026,33308,152
183.1028,12597,86
183.1385,1979,123
183.1385,3757,156
183.1386,15481,534
183.1389,9437,410
183.1391,16739,434
183.1392,35077,500
183.1392,7868,132
183.1745,2168,228
183.1749,14695,347
183.1757,35040,376
183.176,3030,490
183.8884,3152,18
184.007,9679,172
184.1789,3667,377
184.8863,7630,20
184.9918,3462,273
185.0344,2086,76
185.0808,9041,117
185.0809,3090,29
185.117,3132,114
185.1175,31491,91
185.1177,5451,152
185.1178,4188,343
185.1179,62792,136
185.1181,59848,170
185.1182,3912,355
185.1182,3217,566
185.1185,8676,380
185.1542,2539,454
185.1544,10469,472
185.1546,18821,505
186.1138,8694,74
186.9937,6966,92
187.0065,3023,326
187.0068,4372,271
187.0071,7903,296
